stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,10.4086171,10.9385429,10.9385429,10.9558296,11.2392193,right,10,1,1,3.6321751,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
1,2,8,14.5883624,15.0715483,15.0715483,15.0881058,15.3714364,right,8,1,1,7.3114248,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
2,2,6,22.4023127,22.885629,22.885629,22.9024133,23.1854796,left,-6,1,1,1.4872786,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
3,2,4,24.4017162,24.8849625,24.8849625,24.9017617,25.1849717,right,4,1,1,1.245433,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
4,2,2,26.1511894,26.6345634,26.6345634,26.6512477,26.9341602,right,2,1,1,4.1473815,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
5,2,1,30.7997439,31.2828832,31.2828832,31.2995073,31.5828278,right,1,1,1,6.7386068,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
6,2,1,38.0475951,38.5477506,38.5477506,38.5477506,38.8474019,right,1,1,1,1.8994791,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
7,2,1,40.4638067,40.9636649,40.9636649,40.9636649,41.2632537,left,-1,1,1,1.1407677,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
8,2,1,42.1295783,42.6295186,42.6295186,42.6295186,42.9293369,right,1,1,1,0.9694955,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
9,2,1,43.6291082,44.1123402,44.1123402,44.1289832,44.4122757,left,-1,1,1,0.7385829,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
10,2,1,44.8785464,45.3621776,45.3621776,45.3787439,45.6620233,right,1,1,1,1.2073804,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
11,2,1,46.5949341,47.0948728,47.0948728,47.0948728,47.3949371,left,-1,1,1,0.6541894,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
12,2,1,47.7778611,48.2611843,48.2611843,48.2777987,48.5611969,right,1,1,1,0.7707655,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
13,2,1,49.0606776,49.5440815,49.5440815,49.5606966,49.8437394,left,-1,1,1,0.6399973,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
14,2,1,50.2126295,50.710227,50.710227,50.7270412,51.0098511,left,-1,1,1,0.7013109,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
15,2,1,51.4434495,51.9433262,51.9433262,51.9433262,52.243298,right,1,1,1,1.6647056,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
16,2,1,53.626281,54.1096032,54.1096032,54.125811,54.4092384,left,-1,1,1,0.8527643,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
17,2,1,54.9924015,55.4921829,55.4921829,55.4921829,55.7922222,right,1,1,1,1.0539284,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
18,2,1,56.5749468,57.0750879,57.0750879,57.0750879,57.3747506,left,-1,1,1,0.6968768,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
19,2,1,57.7916043,58.2918123,58.2918123,58.2918123,58.5908187,left,-1,1,1,0.7712265,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
20,1,1,59.0910918,59.5908513,59.5908513,59.5908513,59.8908325,right,1,0,0,1.0069821,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
21,1,2,60.6239589,61.1073916,61.1073916,61.124003,61.4069458,right,2,1,1,0.7539858,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
22,1,2,61.8903991,62.3736845,62.3736845,62.39022,62.673107,left,-2,1,1,0.8944695,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
23,1,2,63.289948,63.789696,63.789696,63.789696,64.0894596,left,-2,1,1,0.7304058,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
24,1,1,64.5398933,65.0392656,65.0392656,65.0392656,65.3393284,right,1,1,1,0.7324803,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
25,1,1,65.7888475,66.2722418,66.2722418,66.2889809,66.572238,right,1,1,1,0.9464583,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
26,1,1,67.2385813,67.7219848,67.7219848,67.7383424,68.0216151,right,1,1,1,0.7367133,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
27,0.5,1,68.4879036,68.9714346,68.9714346,68.9881152,69.2711467,right,1,0,0,0.8048201,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
28,0.5,1.5,69.8042525,70.2877295,70.2877295,70.3044014,70.5876651,left,-1.5,1,1,0.8593416,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
29,0.5,1.5,71.170751,71.6704139,71.6704139,71.6704139,71.9705787,right,1.5,1,1,0.6256377,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
30,0.5,1.5,72.3203684,72.8034961,72.8034961,72.8201883,73.1034292,right,1.5,1,1,0.9094626,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
31,0.5,1,73.7362503,74.2197471,74.2197471,74.2364479,74.5197158,left,-1,1,1,0.9447007,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
32,0.5,1,75.1861729,75.6858541,75.6858541,75.6858541,75.9857616,right,1,1,1,0.7882656,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
33,0.5,1,76.5023525,76.9856318,76.9856318,77.0023628,77.285471,left,-1,1,1,0.7046296,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
34,0.5,1,77.7184307,78.2019971,78.2019971,78.2185471,78.5014997,right,1,1,1,0.8056754,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
