stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,stair.intensity,stair.thisTrialN,key_resp.rt
1,2,10,16.1419131,16.6547208,16.6547208,16.6717878,16.9549686,left,-10,1,1,0.605333,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,10,1,0.605333
2,2,8,17.2885581,17.7712492,17.7712492,17.7881795,18.0714177,left,-8,1,1,0.4715442,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,8,2,0.4715442
3,2,6,18.2714518,18.7545365,18.7545365,18.7709673,19.0544157,right,6,1,1,0.3677547,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,6,3,0.3677547
4,2,4,19.1543319,19.6379226,19.6379226,19.6539231,19.9372667,right,4,1,1,0.46966,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,4,4,0.46966
5,2,2,20.1378493,20.6207336,20.6207336,20.667048,20.9202888,right,2,1,1,0.6117913,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2,5,0.6117913
6,1,1,21.2533904,21.7372929,21.7372929,21.7534856,22.0369903,right,1,0,0,0.4784327,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,6,0.4784327
7,1,2,22.2367727,22.7363138,22.7363138,22.7363138,23.0413321,left,-2,1,1,0.4510859,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2,7,0.4510859
8,1,2,23.2195092,23.7196667,23.7196667,23.7196667,24.0195475,left,-2,1,1,0.5275732,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2,8,0.5275732
9,1,2,24.2701177,24.7530282,24.7530282,24.7693428,25.0532738,left,-2,1,1,0.4630384,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2,9,0.4630384
10,1,1,25.2363345,25.7359599,25.7359599,25.7359599,26.0359091,right,1,1,1,0.487395,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,10,0.487395
11,1,1,26.2524299,26.7519517,26.7519517,26.7519517,27.0522741,right,1,1,1,0.5969377,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,11,0.5969377
12,1,1,27.3681038,27.8683136,27.8683136,27.8683136,28.1682919,left,-1,1,1,0.4142629,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,12,0.4142629
13,1,1,28.3017434,28.8011246,28.8011246,28.8011246,29.1012058,right,1,1,1,0.585682,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,13,0.585682
14,1,1,29.4225285,29.9014371,29.9014371,29.9349733,30.2011781,left,-1,1,1,0.4983791,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,14,0.4983791
15,1,1,30.4179511,30.9178583,30.9178583,30.9178583,31.2169641,left,-1,1,1,0.8765977,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,15,0.8765977
16,1,1,31.8169751,32.3000331,32.3000331,32.3169001,32.6001418,left,-1,1,1,0.6679736,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,16,0.6679736
17,1,1,32.9997814,33.4830052,33.4830052,33.5004025,33.7828942,left,-1,1,1,0.5493897,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,17,0.5493897
18,1,1,34.0498794,34.5497159,34.5497159,34.5497159,34.8492094,right,1,1,1,0.494768,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,18,0.494768
19,1,1,35.0666461,35.5496948,35.5496948,35.5664955,35.8497147,right,1,1,1,0.4563555,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,19,0.4563555
20,1,1,36.0327973,36.5157652,36.5157652,36.5323447,36.815088,right,1,1,1,0.3699196,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,20,0.3699196
21,1,1,36.9156675,37.3989905,37.3989905,37.4157043,37.7037697,right,1,1,1,0.3088734,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,1,21,0.3088734
